"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0009798","axis specification","222","2","14.286","8.9884","3.168","0.0201799636156291","1.69507962112913","1","0.0719459572383299","0.498636988940263","pk,baz","FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0016043","cellular component organization","3173","7","50","2.2011","1.138","0.0231532673718771","1.63538771300682","1","0.0810364358015697","0.561640513151975","Fas3,zfh1,path,Sdc,pk,unc-13-4A,baz","FBgn0000636,FBgn0004606,FBgn0036007,FBgn0010415,FBgn0003090,FBgn0035756,FBgn0000163"
"","GO Biological Processes","GO:0048638","regulation of developmental growth","242","2","14.286","8.2456","3.044","0.0237166807006836","1.62494609331155","1","0.0813136557067745","0.563561845553568","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0034329","cell junction assembly","246","2","14.286","8.1115","3.02","0.0244530049892986","1.61166776353097","1","0.0822155134291192","0.569812365198929","Sdc,baz","FBgn0010415,FBgn0000163"
"","GO Cellular Component","GO:0016020","membrane","3207","7","50","2.1777","1.123","0.0245027439734328","1.61078527784807","1","0.0822155134291192","0.569812365198929","Sdc,Fas3,path,Fili,pk,baz,fred","FBgn0010415,FBgn0000636,FBgn0036007,FBgn0085397,FBgn0003090,FBgn0000163,FBgn0051774"
"","GO Biological Processes","GO:0051094","positive regulation of developmental process","251","2","14.286","7.9499","2.991","0.0253867343228505","1.59539316193772","1","0.0837470431110127","0.580426962298836","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Cellular Component","GO:0030424","axon","259","2","14.286","7.7044","2.946","0.0269111451740031","1.57006782092193","1","0.0872711713552417","0.604851693913992","path,Sdc","FBgn0036007,FBgn0010415"
"","GO Biological Processes","GO:0051301","cell division","272","2","14.286","7.3361","2.875","0.02946683904645","1.5306664490945","1","0.0940794091998132","0.652037656115599","baz,zfh1","FBgn0000163,FBgn0004606"
"","GO Cellular Component","GO:0005768","endosome","275","2","14.286","7.2561","2.859","0.0300701979753676","1.52186371259364","1","0.0948367782300056","0.657286765686561","path,Fas3","FBgn0036007,FBgn0000636"
"","GO Biological Processes","GO:0071840","cellular component organization or biogenesis","3355","7","50","2.0817","1.058","0.0310612945819901","1.50778044757404","1","0.0957784031786844","0.663812900679315","zfh1,path,Sdc,pk,unc-13-4A,baz,Fas3","FBgn0004606,FBgn0036007,FBgn0010415,FBgn0003090,FBgn0035756,FBgn0000163,FBgn0000636"
"","GO Biological Processes","GO:2000026","regulation of multicellular organismal development","282","2","14.286","7.076","2.823","0.0314975354649722","1.50172342639568","1","0.0957784031786844","0.663812900679315","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0051130","positive regulation of cellular component organization","283","2","14.286","7.051","2.818","0.031703652620122","1.49889069925293","1","0.0957784031786844","0.663812900679315","pk,Sdc","FBgn0003090,FBgn0010415"
"","GO Biological Processes","GO:0051128","regulation of cellular component organization","719","3","21.429","4.1629","2.058","0.0323146195370908","1.49060095296782","1","0.0964183276648795","0.668248035483185","pk,baz,Sdc","FBgn0003090,FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0045595","regulation of cell differentiation","286","2","14.286","6.977","2.803","0.0323252967400627","1.4904574796887","1","0.0964183276648795","0.668248035483185","zfh1,pk","FBgn0004606,FBgn0003090"
"","GO Cellular Component","GO:0120025","plasma membrane bounded cell projection","739","3","21.429","4.0503","2.018","0.0346744832429486","1.45999000253754","1","0.100520976674003","0.696682330155381","dcma,Sdc,path","FBgn0085380,FBgn0010415,FBgn0036007"
"","GO Cellular Component","GO:0042995","cell projection","748","3","21.429","4.0015","2.001","0.035765906380018","1.44653076458425","1","0.102126238835574","0.707807946123684","Sdc,dcma,path","FBgn0010415,FBgn0085380,FBgn0036007"
"","GO Biological Processes","GO:0044087","regulation of cellular component biogenesis","303","2","14.286","6.5856","2.719","0.0359398958968396","1.44442318519849","1","0.102126238835574","0.707807946123684","Sdc,baz","FBgn0010415,FBgn0000163"
"","GO Biological Processes","GO:0050808","synapse organization","315","2","14.286","6.3347","2.663","0.0385834179037684","1.41359930310484","1","0.107509135324093","0.745115272342454","baz,Sdc","FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0051253","negative regulation of RNA metabolic process","325","2","14.286","6.1398","2.618","0.0408429637433243","1.38888275114266","1","0.112171584634776","0.777429383859024","CG42458,zfh1","FBgn0259935,FBgn0004606"
